order_id,customer_id,product_id,seller_id,order_date,delivery_date,quantity,selling_price,discount,final_amount,payment_method,order_status
O000071,C04285,P00526,S0241,2026-06-25,2026-06-30,3,1154.0,692.4,2769.6,Debit Card,Delivered
O000072,C00068,P00340,S0016,2025-12-16,2025-12-24,1,1351.0,405.3,945.7,Net Banking,Delivered
O000073,C02322,P00394,S0068,2026-01-25,2026-02-02,1,3280.0,656.0,2624.0,UPI,Delivered
O000074,C02689,P00013,S0232,2025-09-02,2025-09-08,1,2365.0,0.0,2365.0,COD,Delivered
O000075,C00309,P00578,S0144,2026-06-10,2026-06-16,1,1320.0,132.0,1188.0,UPI,Delivered
O000076,C03731,P00293,S0270,2025-11-27,2025-12-03,2,1800.0,360.0,3240.0,UPI,Delivered
O000077,C03091,P00096,S0293,2026-05-02,2026-05-08,2,377.0,113.1,640.9,UPI,Delivered
O000078,C02116,P00476,S0082,2026-04-01,2026-04-08,1,1268.0,317.0,951.0,Debit Card,Delivered
O000079,C00183,P00391,S0094,2026-03-20,2026-03-26,1,818.0,0.0,818.0,UPI,Delivered
O000080,C00673,P00469,S0096,2025-09-21,2025-09-27,1,2118.0,635.4,1482.6,COD,Delivered
O000081,C03671,P00667,S0115,2025-10-02,2025-10-07,1,1036.0,155.4,880.6,UPI,Delivered
O000082,C02669,P00220,S0279,2025-08-11,2025-08-17,1,944.0,0.0,944.0,UPI,Delivered
O000083,C00164,P00812,S0109,2026-07-28,2026-08-01,1,1032.0,154.8,877.2,UPI,Delivered
O000084,C01481,P00914,S0142,2025-11-23,,1,337.0,16.85,320.15,UPI,Cancelled
O000085,C03564,P00802,S0191,2026-06-01,2026-06-05,1,3829.0,0.0,3829.0,COD,Delivered
O000086,C00137,P00928,S0240,2026-07-07,2026-07-14,1,2622.0,393.3,2228.7,UPI,Delivered
O000087,C01879,P00409,S0086,2026-04-16,2026-04-23,1,1177.0,0.0,1177.0,Credit Card,Delivered
O000088,C02166,P00285,S0176,2025-11-10,2025-11-18,1,300.0,45.0,255.0,Credit Card,Delivered
O000089,C04816,P00658,S0139,2025-11-04,2025-11-08,2,1947.0,1168.2,2725.8,Net Banking,Delivered
O000090,C01066,P00355,S0265,2026-01-27,2026-01-30,1,406.0,121.8,284.2,UPI,Delivered
O000091,C04019,P00057,S0215,2026-03-18,2026-03-26,1,2298.0,689.4,1608.6,COD,Delivered
O000092,C00585,P00934,S0252,2026-06-29,2026-07-06,1,2153.0,645.9,1507.1,COD,Delivered
O000093,C02003,P00152,S0215,2026-03-07,2026-03-12,2,1334.0,800.4,1867.6,COD,Delivered
O000094,C04196,P00188,S0061,2026-02-06,2026-02-08,1,155.0,38.75,116.25,Credit Card,Delivered
O000095,C01158,P00831,S0102,2026-03-23,2026-03-25,1,2334.0,350.1,1983.9,Net Banking,Delivered
O000096,C01708,P00463,S0291,2025-08-11,2025-08-19,1,1635.0,408.75,1226.25,UPI,Delivered
O000097,C04012,P00667,S0115,2026-04-03,2026-04-05,1,1036.0,155.4,880.6,Debit Card,Delivered
O000098,C03173,P00360,S0090,2026-01-25,,1,2167.0,0.0,2167.0,Credit Card,Cancelled
O000099,C01767,P00271,S0286,2025-12-18,2025-12-24,1,995.0,99.5,895.5,COD,Delivered
O000100,C04168,P00270,S0196,2026-06-13,2026-06-16,1,588.0,147.0,441.0,COD,Delivered
O000101,C00590,P00795,S0082,2026-07-22,2026-07-27,2,750.0,75.0,1425.0,UPI,Delivered
O000102,C00728,P00410,S0099,2026-04-12,2026-04-17,1,2444.0,611.0,1833.0,Debit Card,Delivered
O000103,C01017,P00126,S0168,2026-03-27,2026-04-01,1,922.0,276.6,645.4,Debit Card,Delivered
O000104,C01418,P00609,S0279,2026-07-22,2026-07-27,1,1200.0,60.0,1140.0,UPI,Delivered
O000105,C02566,P00534,S0182,2026-08-02,2026-08-08,1,372.0,74.4,297.6,Net Banking,Delivered
O000106,C04960,P00281,S0211,2026-04-18,2026-04-26,2,2030.0,406.0,3654.0,Debit Card,Delivered
O000107,C02234,P00818,S0001,2026-07-27,,1,657.0,32.85,624.15,Debit Card,Cancelled
O000108,C02739,P00541,S0236,2025-10-20,2025-10-27,1,1369.0,410.7,958.3,UPI,Delivered
O000109,C02079,P00541,S0236,2025-08-25,2025-08-30,2,1369.0,821.4,1916.6,UPI,Delivered
O000110,C04568,P00873,S0102,2026-04-11,2026-04-13,1,1030.0,103.0,927.0,Net Banking,Delivered
O000111,C03933,P00099,S0211,2026-03-14,2026-03-19,1,2650.0,0.0,2650.0,UPI,Delivered
O000112,C02442,P00879,S0118,2025-09-25,2025-09-28,1,506.0,151.8,354.2,UPI,Delivered
O000113,C01704,P00294,S0238,2025-09-10,2025-09-17,1,1321.0,0.0,1321.0,Credit Card,Delivered
O000114,C04678,P00856,S0046,2025-12-31,2026-01-05,1,945.0,283.5,661.5,UPI,Delivered
O000115,C04148,P00747,S0204,2025-10-26,2025-10-30,1,2713.0,271.3,2441.7,COD,Delivered
O000116,C02733,P00408,S0286,2026-07-12,2026-07-15,1,2129.0,212.9,1916.1,Net Banking,Delivered
O000117,C01067,P00125,S0060,2026-03-09,2026-03-16,1,1658.0,0.0,1658.0,Credit Card,Delivered
O000118,C00302,P00666,S0122,2025-12-22,,1,4881.0,1464.3,3416.7,Credit Card,Cancelled
O000119,C00575,P00221,S0284,2025-09-10,2025-09-18,1,2461.0,738.3,1722.7,UPI,Delivered
O000120,C03453,P00559,S0040,2025-09-19,2025-09-25,1,1028.0,257.0,771.0,UPI,Delivered
O000121,C03270,P00660,S0174,2026-01-18,2026-01-25,3,2560.0,0.0,7680.0,Debit Card,Delivered
O000122,C04116,P00789,S0269,2025-11-29,2025-12-03,1,1983.0,297.45,1685.55,UPI,Delivered
O000123,C00627,P00198,S0247,2026-01-17,2026-01-19,1,1278.0,191.7,1086.3,UPI,Delivered
O000124,C03346,P00888,S0249,2026-04-29,2026-05-04,1,361.0,0.0,361.0,Credit Card,Delivered
O000125,C03372,P00081,S0151,2026-03-03,2026-03-08,1,1122.0,336.6,785.4,UPI,Delivered
O000126,C01207,P00943,S0279,2026-08-08,2026-08-11,1,754.0,188.5,565.5,UPI,Delivered
O000127,C02811,P00382,S0129,2026-06-14,2026-06-20,1,1220.0,0.0,1220.0,COD,Delivered
O000128,C01345,P00849,S0251,2026-08-05,2026-08-08,1,753.0,37.65,715.35,UPI,Delivered
O000129,C01524,P00088,S0180,2026-04-22,2026-04-26,1,1769.0,176.9,1592.1,COD,Delivered
O000130,C03942,P00223,S0093,2026-07-25,2026-07-28,1,1065.0,213.0,852.0,COD,Delivered
O000131,C00449,P00576,S0169,2026-02-08,2026-02-13,1,1092.0,0.0,1092.0,COD,Delivered
O000132,C03970,P00331,S0166,2026-01-15,2026-01-21,1,1488.0,74.4,1413.6,Debit Card,Delivered
O000133,C02076,P00595,S0197,2026-03-31,2026-04-04,1,1048.0,209.6,838.4,UPI,Delivered
O000134,C02478,P00167,S0029,2025-10-15,2025-10-19,1,762.0,76.2,685.8,COD,Delivered
O000135,C01364,P00326,S0216,2025-12-04,2025-12-12,1,948.0,142.2,805.8,UPI,Delivered
O000136,C00673,P00439,S0265,2026-05-13,2026-05-21,2,1084.0,542.0,1626.0,UPI,Delivered
O000137,C02541,P00704,S0172,2026-04-22,2026-04-25,1,1603.0,0.0,1603.0,Net Banking,Delivered
O000138,C00626,P00564,S0246,2026-04-26,2026-05-02,1,936.0,0.0,936.0,UPI,Delivered
O000139,C02192,P00528,S0211,2026-03-13,2026-03-17,1,583.0,116.6,466.4,COD,Delivered
O000140,C04320,P00389,S0168,2026-05-13,2026-05-18,1,2809.0,140.45,2668.55,UPI,Delivered
O000141,C02686,P00088,S0180,2026-02-02,2026-02-10,2,1769.0,1061.4,2476.6,UPI,Delivered
O000142,C02487,P00455,S0209,2026-08-07,,2,2226.0,1335.6,3116.4,Net Banking,Cancelled
O000143,C04539,P00176,S0234,2026-02-19,2026-02-27,1,3381.0,1014.3,2366.7,COD,Delivered
O000144,C03775,P00080,S0157,2026-02-03,2026-02-06,1,224.0,11.2,212.8,Net Banking,Delivered
O000145,C00796,P00503,S0300,2026-06-07,2026-06-13,1,841.0,168.2,672.8,COD,Delivered
O000146,C00337,P00236,S0170,2025-09-08,2025-09-12,3,2018.0,1210.8,4843.2,Debit Card,Delivered
O000147,C01549,P00029,S0272,2025-12-21,,1,484.0,96.8,387.2,COD,Cancelled
O000148,C01287,P00180,S0005,2025-10-02,2025-10-09,1,317.0,31.7,285.3,Debit Card,Delivered
O000149,C00427,P00143,S0056,2026-06-07,2026-06-13,1,260.0,0.0,260.0,COD,Delivered
O000150,C03869,P00486,S0112,2025-11-17,2025-11-22,1,2139.0,0.0,2139.0,COD,Delivered
O000151,C02044,P00483,S0036,2025-09-22,2025-09-25,1,2527.0,631.75,1895.25,Debit Card,Delivered
O000152,C00515,P00916,S0186,2026-01-22,2026-01-26,1,2218.0,110.9,2107.1,COD,Delivered
O000153,C03685,P00374,S0191,2026-03-24,2026-03-26,1,2596.0,649.0,1947.0,UPI,Delivered
O000154,C03337,P00227,S0150,2026-02-11,2026-02-15,1,243.0,24.3,218.7,COD,Delivered
O000155,C03333,P00822,S0261,2026-08-08,2026-08-12,1,1960.0,490.0,1470.0,Net Banking,Delivered
O000156,C02487,P00403,S0108,2025-10-11,,1,2311.0,577.75,1733.25,UPI,Cancelled
O000157,C00806,P00717,S0053,2025-10-22,2025-10-28,1,1197.0,239.4,957.6,COD,Delivered
O000158,C01251,P00256,S0051,2025-09-08,2025-09-14,1,2034.0,508.5,1525.5,Net Banking,Delivered
O000159,C00844,P00385,S0239,2025-08-22,2025-08-29,1,1485.0,0.0,1485.0,UPI,Delivered
O000160,C03118,P00213,S0257,2026-07-30,2026-08-07,1,267.0,0.0,267.0,Debit Card,Delivered
O000161,C04313,P00410,S0099,2026-07-02,2026-07-10,1,2444.0,611.0,1833.0,Credit Card,Delivered
O000162,C03314,P00539,S0009,2026-05-12,2026-05-15,1,1447.0,434.1,1012.9,COD,Delivered
O000163,C00686,P00333,S0206,2026-07-01,2026-07-06,2,1715.0,343.0,3087.0,COD,Delivered
O000164,C03122,P00619,S0281,2026-06-23,,1,592.0,88.8,503.2,COD,Cancelled
O000165,C01586,P00162,S0080,2026-06-30,2026-07-07,1,1788.0,357.6,1430.4,COD,Delivered
O000166,C00032,P00927,S0101,2025-08-16,2025-08-24,1,232.0,11.6,220.4,UPI,Delivered
O000167,C02882,P00994,S0182,2026-04-20,2026-04-25,1,3735.0,186.75,3548.25,COD,Delivered
O000168,C01649,P00303,S0254,2025-10-30,,1,957.0,0.0,957.0,UPI,Cancelled
O000169,C02190,P00189,S0300,2026-05-24,2026-05-28,1,835.0,125.25,709.75,Debit Card,Delivered
O000170,C04559,P00906,S0064,2026-04-05,2026-04-07,2,2714.0,271.4,5156.6,COD,Delivered
O000171,C01526,P00772,S0193,2025-09-02,2025-09-10,1,508.0,101.6,406.4,UPI,Delivered
O000172,C01208,P00733,S0019,2026-06-30,2026-07-05,2,2774.0,832.2,4715.8,COD,Delivered
O000173,C04526,P00608,S0017,2025-08-25,2025-08-27,1,718.0,215.4,502.6,UPI,Delivered
O000174,C02938,P00612,S0142,2026-01-11,2026-01-19,2,812.0,162.4,1461.6,UPI,Delivered
O000175,C04973,P00970,S0006,2026-02-01,2026-02-09,1,1421.0,284.2,1136.8,COD,Delivered
O000176,C04118,P00718,S0140,2026-06-06,2026-06-13,1,2416.0,362.4,2053.6,COD,Delivered
O000177,C00289,P00495,S0261,2025-09-28,2025-10-02,2,1857.0,371.4,3342.6,UPI,Delivered
O000178,C01103,P00472,S0074,2025-12-01,2025-12-07,1,975.0,146.25,828.75,UPI,Delivered
O000179,C03121,P00999,S0196,2026-02-04,2026-02-07,1,1416.0,283.2,1132.8,COD,Delivered
O000180,C03190,P00519,S0052,2026-07-14,2026-07-17,2,1968.0,590.4,3345.6,Debit Card,Delivered
O000181,C00189,P00024,S0273,2025-09-25,2025-09-28,3,902.0,811.8,1894.2,UPI,Delivered
O000182,C00075,P00205,S0106,2026-01-01,2026-01-09,1,2157.0,431.4,1725.6,UPI,Delivered
O000183,C00653,P00012,S0276,2026-06-02,2026-06-05,1,2690.0,134.5,2555.5,COD,Delivered
O000184,C02101,P00022,S0007,2026-05-04,2026-05-07,1,4055.0,1216.5,2838.5,UPI,Delivered
O000185,C04666,P00327,S0263,2026-01-06,2026-01-08,1,2715.0,543.0,2172.0,COD,Delivered
O000186,C04616,P00344,S0272,2025-09-04,2025-09-07,2,153.0,15.3,290.7,UPI,Delivered
O000187,C04822,P00485,S0222,2026-02-10,2026-02-13,2,932.0,466.0,1398.0,UPI,Delivered
O000188,C04624,P00699,S0039,2026-01-27,2026-02-01,1,1141.0,57.05,1083.95,UPI,Delivered
O000189,C04560,P00190,S0165,2025-12-19,2025-12-27,2,1209.0,725.4,1692.6,UPI,Delivered
O000190,C03391,P00804,S0238,2026-01-27,2026-01-30,1,2217.0,554.25,1662.75,UPI,Delivered
O000191,C04382,P00547,S0247,2026-07-16,2026-07-19,1,4011.0,200.55,3810.45,Credit Card,Delivered
O000192,C00014,P00333,S0206,2025-10-06,2025-10-09,1,1715.0,85.75,1629.25,COD,Delivered
O000193,C04178,P00996,S0107,2026-05-01,2026-05-08,1,3298.0,659.6,2638.4,Net Banking,Delivered
O000194,C03461,P00714,S0196,2026-04-16,2026-04-18,2,1802.0,901.0,2703.0,UPI,Delivered
O000195,C03271,P00214,S0082,2025-12-31,2026-01-04,1,1587.0,317.4,1269.6,Credit Card,Delivered
O000196,C04707,P00637,S0010,2026-01-24,2026-01-26,2,1571.0,471.3,2670.7,COD,Delivered
O000197,C01644,P00760,S0091,2025-09-21,2025-09-28,2,1867.0,373.4,3360.6,Credit Card,Delivered
O000198,C02702,P00430,S0233,2026-06-14,2026-06-19,1,1850.0,370.0,1480.0,COD,Delivered
O000199,C03747,P00059,S0120,2025-12-30,2026-01-06,1,896.0,224.0,672.0,COD,Delivered
O000200,C04314,P00450,S0145,2026-02-24,2026-02-28,1,1289.0,64.45,1224.55,Credit Card,Delivered
O000201,C00966,P00171,S0117,2026-06-22,2026-06-25,1,1009.0,151.35,857.65,COD,Delivered
O000202,C03329,P00644,S0132,2026-02-09,2026-02-17,1,1181.0,0.0,1181.0,UPI,Delivered
O000203,C02546,P00246,S0059,2025-10-07,2025-10-12,1,1896.0,284.4,1611.6,COD,Delivered
O000204,C00066,P00466,S0208,2025-09-05,2025-09-11,1,2709.0,135.45,2573.55,Debit Card,Delivered
O000205,C00500,P00472,S0074,2025-10-06,2025-10-08,1,975.0,48.75,926.25,Credit Card,Delivered
O000206,C02682,P00022,S0007,2026-06-01,2026-06-05,1,4055.0,1013.75,3041.25,COD,Delivered
O000207,C04296,P00180,S0005,2026-01-01,2026-01-05,1,317.0,95.1,221.9,Credit Card,Delivered
O000208,C04917,P00030,S0041,2025-11-04,2025-11-10,1,871.0,130.65,740.35,UPI,Delivered
O000209,C02082,P00078,S0130,2026-03-22,,1,959.0,0.0,959.0,Debit Card,Cancelled
O000210,C04147,P00013,S0232,2025-08-28,2025-09-01,1,2365.0,709.5,1655.5,UPI,Delivered
O000211,C00590,P00202,S0202,2026-01-28,2026-02-01,2,906.0,271.8,1540.2,Credit Card,Delivered
O000212,C04318,P00165,S0173,2026-03-03,2026-03-07,1,1991.0,497.75,1493.25,COD,Delivered
O000213,C02233,P00088,S0180,2026-03-12,2026-03-15,2,1769.0,353.8,3184.2,Debit Card,Delivered
O000214,C00336,P00859,S0050,2026-06-21,2026-06-28,2,1545.0,463.5,2626.5,Debit Card,Delivered
O000215,C03301,P00901,S0180,2026-07-01,2026-07-08,1,3136.0,470.4,2665.6,COD,Delivered
O000216,C01690,P00736,S0060,2026-03-01,2026-03-07,2,2485.0,1491.0,3479.0,UPI,Delivered
O000217,C00878,P00306,S0172,2026-06-13,2026-06-17,1,1299.0,324.75,974.25,UPI,Delivered
O000218,C01258,P00063,S0248,2026-04-24,2026-04-26,1,607.0,0.0,607.0,Debit Card,Delivered
O000219,C02928,P00806,S0150,2026-01-22,2026-01-30,1,2368.0,710.4,1657.6,UPI,Delivered
O000220,C04564,P00899,S0149,2025-12-14,2025-12-18,2,489.0,244.5,733.5,Debit Card,Delivered
O000221,C04498,P00439,S0265,2025-10-21,2025-10-26,1,1084.0,54.2,1029.8,COD,Delivered
O000222,C04976,P00308,S0194,2026-02-16,2026-02-20,1,906.0,226.5,679.5,Credit Card,Delivered
O000223,C00021,P00496,S0145,2026-03-27,2026-04-04,1,992.0,297.6,694.4,UPI,Delivered
O000224,C02814,P00468,S0287,2025-09-22,2025-09-24,1,2786.0,557.2,2228.8,UPI,Delivered
O000225,C00530,P00246,S0059,2026-04-01,2026-04-07,1,1896.0,189.6,1706.4,UPI,Delivered
O000226,C02272,P00982,S0211,2026-01-11,2026-01-14,1,696.0,69.6,626.4,COD,Delivered
O000227,C00822,P00917,S0034,2026-03-18,2026-03-24,2,597.0,238.8,955.2,Credit Card,Delivered
O000228,C02004,P00350,S0230,2026-05-02,2026-05-07,1,1644.0,164.4,1479.6,COD,Delivered
O000229,C03645,P00389,S0168,2026-03-21,2026-03-23,1,2809.0,842.7,1966.3,UPI,Delivered
O000230,C02963,P00437,S0007,2026-01-24,2026-02-01,1,3225.0,645.0,2580.0,Credit Card,Delivered
O000231,C02507,P00589,S0083,2025-12-02,2025-12-09,3,1076.0,484.2,2743.8,UPI,Delivered
O000232,C02755,P00326,S0216,2026-03-09,,2,948.0,94.8,1801.2,Credit Card,Cancelled
O000233,C04770,P00163,S0298,2025-12-25,2025-12-30,1,4405.0,1321.5,3083.5,UPI,Delivered
O000234,C01975,P00828,S0105,2026-01-10,2026-01-16,2,2358.0,471.6,4244.4,UPI,Delivered
O000235,C01024,P00637,S0010,2025-09-06,2025-09-10,1,1571.0,0.0,1571.0,UPI,Delivered
O000236,C03788,P00550,S0257,2026-03-31,2026-04-04,2,568.0,340.8,795.2,COD,Delivered
O000237,C00588,P00539,S0009,2026-07-14,2026-07-17,1,1447.0,289.4,1157.6,UPI,Delivered
O000238,C02993,P00125,S0060,2026-04-07,2026-04-09,2,1658.0,331.6,2984.4,COD,Delivered
O000239,C02215,P00647,S0211,2026-07-08,2026-07-10,2,2747.0,1373.5,4120.5,UPI,Delivered
O000240,C02694,P00561,S0286,2026-07-09,2026-07-13,1,4296.0,214.8,4081.2,COD,Delivered
O000241,C01185,P00226,S0100,2026-05-12,2026-05-14,1,528.0,52.8,475.2,Debit Card,Delivered
O000242,C04769,P00534,S0182,2026-02-03,2026-02-08,1,372.0,74.4,297.6,UPI,Delivered
O000243,C04109,P00356,S0240,2025-09-30,2025-10-08,1,1755.0,263.25,1491.75,Debit Card,Delivered
O000244,C04350,P00957,S0095,2025-12-23,2025-12-28,1,2007.0,0.0,2007.0,COD,Delivered
O000245,C01749,P00244,S0127,2026-07-12,2026-07-14,1,1726.0,431.5,1294.5,COD,Delivered
O000246,C03810,P00366,S0031,2025-10-02,2025-10-07,1,1834.0,550.2,1283.8,UPI,Delivered
O000247,C00787,P00597,S0250,2025-12-19,2025-12-24,1,923.0,138.45,784.55,Credit Card,Delivered
O000248,C02012,P00307,S0006,2026-01-06,2026-01-12,1,2342.0,234.2,2107.8,COD,Delivered
O000249,C00342,P00923,S0210,2026-05-03,2026-05-07,1,1389.0,208.35,1180.65,Credit Card,Delivered
O000250,C03297,P00569,S0019,2025-08-29,2025-09-06,1,1788.0,0.0,1788.0,UPI,Delivered
O000251,C00159,P00747,S0204,2025-09-19,2025-09-26,1,2713.0,542.6,2170.4,Debit Card,Delivered
O000252,C00860,P00241,S0085,2026-03-23,2026-03-31,1,902.0,135.3,766.7,UPI,Delivered
O000253,C04708,P00713,S0200,2025-08-28,2025-08-31,1,652.0,97.8,554.2,Net Banking,Delivered
O000254,C02561,P00215,S0270,2026-01-18,2026-01-21,1,312.0,46.8,265.2,COD,Delivered
O000255,C02992,P00863,S0106,2026-06-03,2026-06-11,2,2378.0,237.8,4518.2,Credit Card,Delivered
