return_id,order_id,return_date,return_reason,return_category,refund_amount,return_status,condition_after_return
R000065,O000492,2026-08-13,Damaged Product,Product Issue,1693.78,Approved,Good
R000066,O000497,2026-06-15,Wrong Product,Product Issue,4311.05,Approved,Good
R000067,O000528,2026-05-09,Late Delivery,Customer Preference,1512.53,Approved,Damaged
R000068,O000536,2025-09-02,Product Quality Issue,Product Issue,613.94,Approved,Damaged
R000069,O000556,2026-07-30,Late Delivery,Customer Preference,2434.14,Approved,Good
R000070,O000558,2026-04-02,Wrong Size,Customer Preference,1723.19,Approved,Opened
R000071,O000568,2026-02-06,Product Quality Issue,Product Issue,1618.68,Approved,Good
R000072,O000582,2026-03-16,Wrong Product,Product Issue,619.99,Approved,Opened
R000073,O000584,2026-08-16,Wrong Size,Customer Preference,211.19,Approved,Good
R000074,O000586,2025-12-19,Changed Mind,Customer Preference,1963.48,Approved,Damaged
R000075,O000590,2026-05-23,Changed Mind,Customer Preference,1850.41,Approved,Damaged
R000076,O000597,2025-10-20,Changed Mind,Customer Preference,3257.06,Approved,Damaged
R000077,O000606,2026-06-29,Wrong Size,Customer Preference,358.72,Approved,Opened
R000078,O000622,2026-02-03,Changed Mind,Customer Preference,1069.63,Approved,Opened
R000079,O000629,2026-05-31,Damaged Product,Product Issue,1099.54,Approved,Opened
R000080,O000634,2026-02-12,Wrong Product,Product Issue,1266.96,Approved,Damaged
R000081,O000645,2025-09-19,Missing Accessories,Product Issue,655.74,Approved,Good
R000082,O000660,2025-09-28,Missing Accessories,Product Issue,6457.82,Approved,Opened
R000083,O000661,2025-12-31,Product Quality Issue,Product Issue,1090.48,Approved,Good
R000084,O000678,2026-04-24,Late Delivery,Customer Preference,1394.45,Approved,Good
R000085,O000681,2026-06-14,Not as Expected,Customer Preference,854.65,Approved,Opened
R000086,O000687,2026-04-26,Late Delivery,Customer Preference,1770.62,Approved,Damaged
R000087,O000695,2026-05-24,Late Delivery,Customer Preference,969.4,Approved,Good
R000088,O000696,2026-06-27,Late Delivery,Customer Preference,1256.5,Approved,Good
R000089,O000702,2026-08-16,Late Delivery,Customer Preference,923.6,Approved,Damaged
R000090,O000708,2026-07-28,Wrong Product,Product Issue,4133.91,Rejected,Damaged
R000091,O000713,2025-12-27,Wrong Size,Customer Preference,965.3,Approved,Opened
R000092,O000718,2026-04-11,Changed Mind,Customer Preference,369.89,Approved,Opened
R000093,O000720,2026-03-26,Product Quality Issue,Product Issue,1185.3,Approved,Damaged
R000094,O000724,2025-11-01,Wrong Product,Product Issue,894.86,Approved,Damaged
R000095,O000726,2025-12-12,Changed Mind,Customer Preference,443.17,Approved,Opened
R000096,O000734,2026-07-05,Wrong Product,Product Issue,1773.57,Approved,Good
R000097,O000739,2026-08-05,Missing Accessories,Product Issue,532.84,Approved,Opened
R000098,O000741,2026-05-19,Not as Expected,Customer Preference,448.2,Approved,Opened
R000099,O000747,2026-04-26,Late Delivery,Customer Preference,1647.51,Approved,Damaged
R000100,O000749,2026-05-14,Wrong Product,Product Issue,1037.76,Approved,Opened
R000101,O000751,2025-09-02,Damaged Product,Product Issue,694.35,Approved,Opened
R000102,O000755,2026-04-01,Damaged Product,Product Issue,803.82,Approved,Damaged
R000103,O000766,2026-06-03,Missing Accessories,Product Issue,754.25,Approved,Good
R000104,O000768,2026-03-15,Wrong Size,Customer Preference,2047.01,Approved,Damaged
R000105,O000769,2026-04-10,Not as Expected,Customer Preference,1609.62,Approved,Opened
R000106,O000781,2025-11-20,Not as Expected,Customer Preference,2868.42,Approved,Good
R000107,O000790,2026-06-25,Changed Mind,Customer Preference,1934.61,Approved,Damaged
R000108,O000796,2025-11-12,Wrong Product,Product Issue,365.1,Rejected,Good
R000109,O000800,2026-05-01,Missing Accessories,Product Issue,1268.74,Approved,Good
R000110,O000810,2025-09-17,Wrong Size,Customer Preference,1351.57,Approved,Good
R000111,O000814,2025-08-29,Missing Accessories,Product Issue,523.93,Approved,Damaged
R000112,O000816,2026-02-04,Changed Mind,Customer Preference,1417.67,Rejected,Good
R000113,O000821,2026-03-28,Late Delivery,Customer Preference,1752.23,Approved,Damaged
R000114,O000823,2026-03-13,Changed Mind ,Customer Preference,2918.0,Approved,Damaged
R000115,O000824,2025-08-27,Missing Accessories,Product Issue,1001.46,Approved,Opened
R000116,O000829,2025-12-31,Product Quality Issue,Product Issue,1006.84,Approved,Damaged
R000117,O000830,2026-08-13,Not as Expected,Customer Preference,1761.46,Approved,Damaged
R000118,O000831,2025-10-19,Wrong Size,Customer Preference,1241.32,Approved,Opened
R000119,O000834,2026-03-18,Missing Accessories,Product Issue,2346.34,Approved,Opened
R000120,O000840,2026-08-16,Not as Expected,Customer Preference,1144.25,Rejected,Opened
R000121,O000843,2025-12-04,Wrong Product,Product Issue,1279.17,Approved,Opened
R000122,O000847,2026-06-11,Product Quality Issue,Product Issue,3189.27,Approved,Opened
R000123,O000860,2026-02-04,Wrong Size,Customer Preference,1400.27,Rejected,Opened
R000124,O000867,2025-10-21,Wrong Product,Product Issue,6885.43,Approved,Damaged
R000125,O000879,2025-10-30,Changed Mind,Customer Preference,2328.06,Approved,Damaged
R000126,O000899,2025-10-21,Changed Mind,Customer Preference,493.84,Rejected,Opened
R000127,O000900,2025-12-18,Missing Accessories,Product Issue,1308.13,Approved,Damaged
R000128,O000909,2026-03-29,Missing Accessories,Product Issue,1746.23,Approved,Damaged
R000129,O000911,2025-10-16,Wrong Size,Customer Preference,739.57,Approved,Damaged
R000130,O000912,2026-03-26,Changed Mind,Customer Preference,1167.85,Approved,Damaged
R000131,O000926,2025-12-28,Not as Expected,Customer Preference,795.23,Approved,Good
R000132,O000933,2026-03-25,Missing Accessories,Product Issue,1188.99,Approved,Good
R000133,O000940,2026-01-10,Missing Accessories,Product Issue,1945.48,Approved,Damaged
R000134,O000953,2025-09-20,Product Quality Issue,Product Issue,1812.76,Approved,Opened
R000135,O000959,2026-03-15,Wrong Size,Customer Preference,611.11,Approved,Good
R000136,O000966,2025-12-13,Late Delivery,Customer Preference,6956.07,Approved,Opened
R000137,O000987,2025-12-31,Product Quality Issue,Product Issue,1576.29,Approved,Damaged
R000138,O000988,2026-08-11,Damaged Product,Product Issue,3541.54,Approved,Damaged
R000139,O000992,2026-04-02,Damaged Product,Product Issue,1513.88,Approved,Damaged
R000140,O001002,2026-01-26,Late Delivery,Customer Preference,2252.0,Approved,Damaged
R000141,O001004,2026-03-01,Wrong Size,Customer Preference,1747.51,Approved,Damaged
R000142,O001018,2025-10-06,Not as Expected,Customer Preference,3961.0,Approved,Damaged
R000143,O001036,2026-03-10,Wrong Size,Customer Preference,996.81,Approved,Opened
R000144,O001037,2026-03-01,Wrong Size,Customer Preference,890.71,Approved,Good
R000145,O001040,2026-04-10,Missing Accessories,Product Issue,1463.21,Approved,Damaged
R000146,O001043,2026-03-19,Damaged Product,Product Issue,1558.38,Approved,Damaged
R000147,O001050,2025-12-14,Not as Expected,Customer Preference,814.74,Approved,Good
R000148,O001057,2026-01-29,Late Delivery ,Customer Preference,634.86,Approved,Good
R000149,O001061,2025-10-05,Late Delivery,Customer Preference,1100.8,Rejected,Damaged
R000150,O001072,2026-05-24,Wrong Product,Product Issue,3179.37,Approved,Good
R000151,O001074,2025-10-14,Damaged Product,Product Issue,1692.67,Approved,Opened
R000152,O001076,2025-11-30,Late Delivery,Customer Preference,1224.25,Approved,Opened
R000153,O001080,2025-10-03,Changed Mind,Customer Preference,632.04,Approved,Opened
R000154,O001081,2026-04-14,Not as Expected,Customer Preference,1132.37,Approved,Good
R000155,O001083,2025-11-29,Wrong Size,Customer Preference,673.93,Approved,Damaged
R000156,O001086,2026-08-04,Changed Mind,Customer Preference,2437.59,Approved,Opened
R000157,O001088,2026-08-06,Wrong Size,Customer Preference,263.16,Approved,Damaged
R000158,O001090,2026-08-06,Wrong Size,Customer Preference,1218.44,Approved,Opened
R000159,O001093,2026-01-05,Wrong Size,Customer Preference,1502.46,Approved,Damaged
R000160,O001101,2025-12-08,Changed Mind,Customer Preference,1566.98,Approved,Opened
R000161,O001102,2026-01-07,Product Quality Issue,Product Issue,1974.02,Approved,Good
R000162,O001103,2025-12-13,Wrong Product,Product Issue,2619.93,Approved,Good
R000163,O001109,2026-04-03,Changed Mind,Customer Preference,2897.56,Approved,Damaged
R000164,O001111,2025-09-11,Damaged Product,Product Issue,526.63,Approved,Damaged
R000165,O001115,2026-07-31,Wrong Size,Customer Preference,6957.79,Approved,Damaged
R000166,O001116,2026-06-22,Wrong Size ,Customer Preference,2451.86,Approved,Good
R000167,O001117,2025-12-19,Damaged Product,Product Issue,4130.15,Approved,Damaged
R000168,O001123,2025-10-10,Wrong Product,Product Issue,2238.48,Rejected,Damaged
R000169,O001125,2026-08-15,Wrong Product,Product Issue,818.85,Approved,Opened
R000170,O001132,2026-07-02,Wrong Size,Customer Preference,651.59,Approved,Opened
R000171,O001140,2026-07-19,Late Delivery,Customer Preference,680.36,Approved,Damaged
R000172,O001141,2025-12-21,Late Delivery,Customer Preference,587.73,Approved,Good
R000173,O001146,2026-08-08,Damaged Product,Product Issue,1128.18,Approved,Damaged
R000174,O001149,2026-06-29,Wrong Product,Product Issue,4587.66,Approved,Opened
R000175,O001150,2026-01-08,Changed Mind,Customer Preference,2189.38,Approved,Opened
R000176,O001163,2026-07-08,Damaged Product,Product Issue,589.43,Approved,Damaged
R000177,O001168,2025-10-17,Damaged Product,Product Issue,1495.46,Approved,Opened
R000178,O001183,2025-09-24,Not as Expected,Customer Preference,938.53,Approved,Good
R000179,O001189,2026-07-20,Damaged Product,Product Issue,8685.3,Approved,Opened
R000180,O001193,2026-04-07,Product Quality Issue,Product Issue,1274.94,Approved,Damaged
R000181,O001195,2026-04-30,Damaged Product,Product Issue,1661.89,Approved,Damaged
R000182,O001205,2026-01-06,Wrong Size,Customer Preference,876.37,Approved,Good
R000183,O001220,2026-08-15,Not as Expected,Customer Preference,595.71,Approved,Good
R000184,O001229,2025-09-09,Wrong Product,Product Issue,240.18,Approved,Good
R000185,O001235,2026-03-21,Product Quality Issue,Product Issue,223.66,Approved,Opened
R000186,O001238,2026-08-07,Damaged Product,Product Issue,1977.57,Approved,Opened
R000187,O001241,2025-12-22,Missing Accessories,Product Issue,1102.61,Approved,Damaged
R000188,O001268,2025-09-27,Wrong Product,Product Issue,1461.59,Approved,Good
R000189,O001291,2026-05-26,Changed Mind,Customer Preference,2944.98,Rejected,Opened
R000190,O001293,2026-06-24,Damaged Product,Product Issue,1213.52,Approved,Good
R000191,O001305,2026-06-19,Product Quality Issue,Product Issue,227.88,Approved,Good
R000192,O001327,2026-05-15,Not as Expected,Customer Preference,753.09,Approved,Opened
R000193,O001332,2025-12-31,Product Quality Issue,Product Issue,2023.32,Approved,Damaged
R000194,O001336,2025-09-14,Not as Expected,Customer Preference,894.21,Approved,Damaged
R000195,O001345,2026-03-08,Late Delivery,Customer Preference,581.31,Approved,Good
R000196,O001347,2025-11-06,Missing Accessories,Product Issue,1576.83,Approved,Good
R000197,O001362,2026-03-20,Damaged Product,Product Issue,1377.93,Approved,Opened
R000198,O001381,2025-12-09,Wrong Size,Customer Preference,682.17,Approved,Opened
R000199,O001395,2026-08-07,Late Delivery,Customer Preference,1708.87,Approved,Opened
R000200,O001412,2026-02-25,Product Quality Issue,Product Issue,1327.17,Approved,Damaged
R000201,O001413,2026-01-01,Not as Expected,Customer Preference,1114.99,Approved,Good
R000202,O001425,2026-04-20,Damaged Product,Product Issue,1382.59,Approved,Good
R000203,O001446,2026-01-06,Missing Accessories,Product Issue,3141.48,Rejected,Good
R000204,O001475,2025-10-08,Changed Mind,Customer Preference,930.42,Approved,Good
R000205,O001476,2025-09-03,Not as Expected,Customer Preference,1345.24,Approved,Damaged
R000206,O001493,2025-08-15,Product Quality Issue,Product Issue,628.74,Approved,Damaged
R000207,O001501,2026-04-04,Missing Accessories,Product Issue,2607.75,Approved,Opened
R000208,O001505,2026-05-04,Changed Mind,Customer Preference,679.45,Approved,Good
R000209,O001527,2026-08-11,Not as Expected,Customer Preference,1721.46,Approved,Opened
R000210,O001531,2026-03-05,Changed Mind,Customer Preference,1683.91,Approved,Opened
R000211,O001541,2025-11-07,Wrong Size,Customer Preference,437.8,Approved,Opened
R000212,O001555,2026-07-11,Changed Mind,Customer Preference,887.5,Approved,Good
R000213,O001559,2025-10-01,Damaged Product,Product Issue,1356.66,Approved,Damaged
R000214,O001565,2026-03-10,Product Quality Issue,Product Issue,4338.27,Rejected,Good
R000215,O001571,2026-01-14,Wrong Product,Product Issue,1478.16,Approved,Good
R000216,O001574,2026-07-01,Damaged Product,Product Issue,757.45,Approved,Damaged
R000217,O001581,2025-08-31,Late Delivery,Customer Preference,775.28,Approved,Good
R000218,O001604,2026-06-05,Wrong Product,Product Issue,2424.43,Rejected,Good
R000219,O001605,2026-07-07,Damaged Product,Product Issue,611.03,Approved,Damaged
R000220,O001607,2026-05-27,Missing Accessories,Product Issue,697.34,Approved,Opened
R000221,O001620,2026-07-15,Late Delivery,Customer Preference,2654.98,Approved,Good
R000222,O001632,2026-03-12,Damaged Product,Product Issue,457.32,Approved,Opened
R000223,O001636,2026-03-07,Changed Mind,Customer Preference,540.62,Approved,Damaged
R000224,O001645,2026-08-07,Missing Accessories,Product Issue,1729.55,Approved,Good
R000225,O001655,2026-01-14,Late Delivery,Customer Preference,1115.64,Approved,Opened
R000226,O001661,2026-01-12,Changed Mind,Customer Preference,5141.01,Approved,Damaged
R000227,O001664,2026-04-05,Not as Expected,Customer Preference,3559.86,Approved,Good
R000228,O001667,2025-11-19,Missing Accessories,Product Issue,4486.18,Approved,Damaged
R000229,O001668,2026-03-03,Changed Mind,Customer Preference,1257.77,Approved,Damaged
R000230,O001674,2026-04-22,Wrong Size,Customer Preference,1941.67,Approved,Damaged
R000231,O001680,2025-08-20,Not as Expected,Customer Preference,193.23,Approved,Good
R000232,O001681,2026-04-06,Product Quality Issue,Product Issue,1283.31,Rejected,Damaged
R000233,O001686,2026-06-02,Wrong Size,Customer Preference,1399.02,Approved,Good
R000234,O001690,2026-08-02,Missing Accessories,Product Issue,1347.13,Approved,Damaged
R000235,O001709,2026-06-07,Late Delivery,Customer Preference,439.63,Approved,Damaged
R000236,O001729,2025-11-22,Changed Mind,Customer Preference,4211.71,Approved,Damaged
R000237,O001743,2026-05-08,Damaged Product ,Product Issue,584.53,Approved,Good
R000238,O001745,2025-12-15,Missing Accessories,Product Issue,3946.85,Approved,Good
R000239,O001753,2026-06-08,Missing Accessories,Product Issue,860.63,Rejected,Opened
R000240,O001754,2025-10-28,Missing Accessories,Product Issue,1664.5,Approved,Damaged
R000241,O001759,2026-01-13,Wrong Size,Customer Preference,271.22,Approved,Damaged
R000242,O001763,2026-04-07,Changed Mind,Customer Preference,2248.08,Approved,Opened
R000243,O001764,2025-11-06,Wrong Product,Product Issue,1007.04,Approved,Damaged
R000244,O001770,2025-09-16,Changed Mind,Customer Preference,2582.07,Rejected,Damaged
R000245,O001771,2025-10-08,Changed Mind,Customer Preference,524.94,Approved,Good
R000246,O001774,2026-07-04,Wrong Product,Product Issue,3594.39,Approved,Damaged
R000247,O001784,2025-09-12,Wrong Size ,Customer Preference,812.16,Approved,Damaged
R000248,O001811,2026-04-23,Product Quality Issue,Product Issue,2739.99,Approved,Damaged
R000249,O001817,2026-03-22,Missing Accessories,Product Issue,474.6,Approved,Good
R000250,O001828,2026-07-10,Damaged Product,Product Issue,896.21,Approved,Good
R000251,O001835,2026-05-02,Product Quality Issue,Product Issue,1872.84,Approved,Good
R000252,O001847,2025-11-13,Wrong Size,Customer Preference,1288.2,Approved,Opened
R000253,O001870,2025-10-31,Changed Mind,Customer Preference,833.17,Approved,Good
R000254,O001872,2026-06-27,Product Quality Issue,Product Issue,1068.7,Approved,Damaged
R000255,O001878,2026-02-15,Damaged Product,Product Issue,1420.98,Approved,Opened
R000256,O001893,2025-09-21,Changed Mind,Customer Preference,2774.32,Approved,Damaged
R000257,O001894,2025-09-06,Product Quality Issue,Product Issue,1877.84,Approved,Good
R000258,O001907,2026-05-17,Wrong Size,Customer Preference,6871.64,Approved,Opened
R000259,O001923,2025-12-27,Damaged Product,Product Issue,3443.17,Approved,Good
R000260,O001927,2025-10-16,Late Delivery,Customer Preference,313.57,Approved,Damaged
R000261,O001929,2025-11-16,Late Delivery,Customer Preference,1628.57,Approved,Good
R000262,O001933,2026-08-14,Wrong Product,Product Issue,222.31,Approved,Opened
R000263,O001938,2026-05-10,Wrong Size,Customer Preference,1727.04,Approved,Good
R000264,O001940,2026-04-10,Wrong Size,Customer Preference,499.34,Approved,Damaged
R000265,O001942,2025-11-14,Damaged Product,Product Issue,1529.84,Approved,Damaged
R000266,O001952,2025-09-24,Changed Mind,Customer Preference,1685.32,Approved,Good
R000267,O001956,2026-02-10,Wrong Product,Product Issue,395.13,Rejected,Good
R000268,O001965,2026-04-10,Missing Accessories,Product Issue,2119.64,Approved,Good
R000269,O001966,2026-07-02,Missing Accessories,Product Issue,1716.47,Approved,Good
R000270,O001967,2026-07-16,Product Quality Issue,Product Issue,5567.27,Approved,Good
R000271,O001971,2025-11-20,Product Quality Issue,Product Issue,544.27,Approved,Damaged
R000272,O001972,2025-09-28,Wrong Product,Product Issue,768.63,Approved,Damaged
R000273,O001980,2025-11-06,Changed Mind,Customer Preference,772.6,Approved,Good
R000274,O001982,2026-06-05,Missing Accessories,Product Issue,2125.86,Approved,Damaged
R000275,O001989,2026-08-07,Missing Accessories,Product Issue,2368.11,Approved,Good
R000276,O001992,2025-12-31,Damaged Product,Product Issue,3763.72,Approved,Damaged
R000277,O001995,2025-12-25,Wrong Product,Product Issue,846.62,Approved,Damaged
R000278,O001998,2026-04-17,Wrong Product,Product Issue,2071.02,Approved,Damaged
R000279,O001999,2025-09-22,Missing Accessories,Product Issue,1374.02,Approved,Good
R000280,O002001,2025-12-24,Missing Accessories,Product Issue,1724.37,Approved,Good
R000281,O002006,2026-06-28,Wrong Product,Product Issue,2462.0,Approved,Opened
R000282,O002009,2026-02-15,Product Quality Issue,Product Issue,780.4,Approved,Good
R000283,O002010,2025-09-16,Wrong Product,Product Issue,1082.59,Approved,Opened
R000284,O002015,2025-10-17,Late Delivery,Customer Preference,1228.61,Approved,Opened
R000285,O002024,2026-04-04,Wrong Product,Product Issue,1155.81,Rejected,Opened
R000286,O002029,2026-05-04,Wrong Product,Product Issue,2066.07,Approved,Damaged
R000287,O002045,2026-04-19,Changed Mind,Customer Preference,1138.4,Approved,Good
R000288,O002047,2026-05-14,Product Quality Issue,Product Issue,1805.49,Approved,Good
R000289,O002067,2025-12-22,Changed Mind,Customer Preference,2056.76,Approved,Opened
R000290,O002068,2026-01-08,Product Quality Issue,Product Issue,2209.24,Approved,Opened
R000291,O002075,2026-06-27,Wrong Size,Customer Preference,2138.15,Approved,Opened
R000292,O002077,2025-10-29,Not as Expected,Customer Preference,5195.09,Approved,Damaged
R000293,O002080,2026-01-08,Not as Expected,Customer Preference,1644.34,Rejected,Opened
R000294,O002084,2025-10-05,Product Quality Issue,Product Issue,1394.29,Rejected,Damaged
R000295,O002086,2025-11-08,Late Delivery,Customer Preference,2431.56,Approved,Damaged
R000296,O002088,2026-07-03,Product Quality Issue,Product Issue,811.7,Approved,Damaged
R000297,O002092,2026-02-20,Product Quality Issue,Product Issue,933.33,Approved,Opened
R000298,O002103,2025-10-28,Damaged Product,Product Issue,648.21,Approved,Opened
R000299,O002109,2026-05-12,Late Delivery,Customer Preference,489.99,Approved,Good
R000300,O002116,2026-07-19,Not as Expected,Customer Preference,284.34,Approved,Good
R000301,O002140,2026-07-04,Wrong Product,Product Issue,3802.8,Approved,Good
R000302,O002146,2026-07-30,Missing Accessories,Product Issue,1103.9,Approved,Good
R000303,O002151,2025-12-30,Late Delivery,Customer Preference,971.71,Approved,Good
R000304,O002152,2026-08-06,Product Quality Issue,Product Issue,197.08,Approved,Good
R000305,O002156,2026-05-07,Late Delivery,Customer Preference,1157.23,Approved,Damaged
R000306,O002161,2026-02-16,Late Delivery,Customer Preference,521.61,Approved,Damaged
R000307,O002178,2025-10-03,Not as Expected,Customer Preference,3547.09,Approved,Good
R000308,O002186,2026-02-10,Late Delivery,Customer Preference,2552.37,Rejected,Opened
R000309,O002192,2026-05-07,Late Delivery,Customer Preference,272.57,Approved,Damaged
R000310,O002194,2026-08-12,Wrong Size,Customer Preference,985.31,Approved,Damaged
R000311,O002203,2026-02-07,Wrong Size,Customer Preference,905.64,Approved,Damaged
R000312,O002207,2025-09-30,Not as Expected,Customer Preference,1955.65,Approved,Opened
R000313,O002211,2026-01-17,Wrong Size,Customer Preference,2123.14,Approved,Opened
R000314,O002214,2025-12-19,Wrong Size,Customer Preference,5275.39,Approved,Opened
R000315,O002220,2025-10-19,Late Delivery,Customer Preference,125.29,Approved,Opened
R000316,O002231,2026-03-20,Late Delivery,Customer Preference,879.28,Approved,Damaged
R000317,O002262,2026-08-04,Late Delivery,Customer Preference,910.3,Approved,Good
R000318,O002265,2026-07-11,Missing Accessories,Product Issue,1164.09,Approved,Opened
R000319,O002273,2026-01-05,Wrong Size,Customer Preference,2634.66,Approved,Good
R000320,O002274,2026-08-14,Not as Expected,Customer Preference,1922.5,Rejected,Damaged
R000321,O002276,2026-03-04,Wrong Product,Product Issue,177.3,Approved,Good
R000322,O002282,2025-12-08,Wrong Product,Product Issue,2501.45,Approved,Good
R000323,O002286,2026-07-20,Changed Mind,Customer Preference,1588.28,Approved,Opened
R000324,O002289,2026-02-26,Wrong Size,Customer Preference,2184.2,Approved,Good
R000325,O002293,2025-09-01,Product Quality Issue,Product Issue,1637.36,Approved,Damaged
R000326,O002296,2026-01-02,Wrong Size,Customer Preference,3620.55,Approved,Damaged
R000327,O002303,2026-04-04,Wrong Product,Product Issue,1196.0,Approved,Opened
R000328,O002305,2025-12-24,Missing Accessories,Product Issue,1019.71,Approved,Opened
R000329,O002316,2026-05-10,Damaged Product,Product Issue,298.19,Approved,Good
R000330,O002321,2026-01-26,Late Delivery,Customer Preference,2150.1,Approved,Opened
R000331,O002322,2026-05-07,Wrong Product,Product Issue,1199.61,Rejected,Good
R000332,O002323,2026-03-13,Late Delivery,Customer Preference,944.9,Approved,Damaged
R000333,O002327,2025-10-23,Missing Accessories,Product Issue,500.63,Approved,Opened
R000334,O002341,2026-08-10,Product Quality Issue,Product Issue,2313.69,Approved,Opened
